#subject	order	variable	frenchUnity	englishUnity	frenchDescription	englishDescription
SafePlot	1	irrigationInInterCrop	mm	mm	Irrigation in intercrop	Irrigation in intercrop
SafePlot	1	nitrogenRainInMainCrop	kg N ha-1	kg N ha-1	nitrogen Rain in main crop	nitrogen Rain in main crop
SafePlot	1	nitrogenIrrigationInMainCrop	kg N ha-1	kg N ha-1	nitrogen Irrigation in main crop	nitrogen Irrigation in main crop
SafePlot	1	nitrogenRunOffInMainCrop	kg N ha-1	kg N ha-1	nitrogen Runoff in main crop	nitrogen runoff in main crop
SafePlot	1	nitrogenRainInInterCrop	kg N ha-1	kg N ha-1	nitrogen Rain in intercrop	nitrogen Rain in intercrop
SafePlot	1	nitrogenIrrigationInInterCrop	kg N ha-1	kg N ha-1	nitrogen Irrigation in intercrop	nitrogen Irrigation in intercrop
SafePlot	1	nitrogenRunOffInInterCrop	kg N ha-1	kg N ha-1	nitrogen Runoff in intercrop	nitrogen Runoff in intercrop
SafePlot	1	drainageBottom	mm	mm	DrainageBottom	DrainageBottom
SafePlot	1	drainageArtificial	mm	mm	DrainageArtificial	DrainageArtificial
SafePlot	1	runOff	mm	mm	RunOff	RunOff
SafePlot	1	mainCropQngrain	mm	mm	mainCropQngrain	mainCropQngrain
SafePlot	1	mainCropQnplante	mm	mm	mainCropQnplante	mainCropQnplante
SafePlot	1	mainCropCngrain	mm	mm	mainCropCngrain	mainCropCngrain
SafePlot	1	mainCropCnplante	mm	mm	mainCropCnplante	mainCropCnplante
SafePlot	1	surfaceRunOff	mm	mm	surfaceRunOff	surfaceRunOff
SafePlot	1	parInterceptedByTrees	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByTrees	parInterceptedByTrees
SafePlot	1	parInterceptedByMainCrop	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByMainCrop	parInterceptedByMainCrop
SafePlot	1	parInterceptedByInterCrop	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByInterCrop	parInterceptedByInterCrop
SafePlot	1	parInterceptedByMainCropCompetFree	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByMainCropCompetFree	parInterceptedByMainCropCompetFree
SafePlot	1	parInterceptedByInterCropCompetFree	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByInterCropCompetFree	parInterceptedByInterCropCompetFree
SafePlot	1	parInterceptedByTreesCompetFree	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByTreesCompetFree	parInterceptedByTreesCompetFree
SafePlot	1	parIncident	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parIncident	parIncident
SafePlot	1	parIncidentMainCrop	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parIncidentMainCrop	parIncidentMainCrop
SafePlot	1	parIncidentInterCrop	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parIncidentInterCrop	parIncidentInterCrop
SafePlot	1	mainCropWaterDemand	mm	mm	mainCropWaterDemand	mainCropWaterDemand
SafePlot	1	mainCropWaterDemandReduced	mm	mm	mainCropWaterDemandReduced	mainCropWaterDemandReduced
SafePlot	1	mainCropWaterPotential	cm	cm	mainCropWaterPotential	mainCropWaterPotential
SafePlot	1	mainCropNitrogenDemand	kg.ha-1	kg.ha-1	mainCropNitrogenDemand	mainCropNitrogenDemand
SafePlot	1	mainCropTotalRootLength	m	m	mainCropTotalRootLength	mainCropTotalRootLength
SafePlot	1	mainCropSla	-	-	mainCropSla	mainCropSla
SafePlot	1	mainCropGrainNumber	-	-	mainCropGrainNumber	mainCropGrainNumber
SafePlot	1	mainCropGrainWeight	-	-	mainCropGrainWeight	mainCropGrainWeight
SafePlot	1	mainCropPhenologicStage	-	-	mainCropPhenologicStage	mainCropPhenologicStage
SafePlot	1	mainCropPlantDensity	-	-	mainCropPlantDensity	mainCropPlantDensity
SafePlot	1	mainCropWaterStress	-	-	mainCropWaterStress	mainCropWaterStress
SafePlot	1	mainCropSenescenceWaterStress	-	-	mainCropSenescenceWaterStress	mainCropSenescenceWaterStress
SafePlot	1	mainCropTurgescenceWaterStress	-	-	mainCropTurgescenceWaterStress	mainCropTurgescenceWaterStress
SafePlot	1	mainCropNitrogenStress	-	-	mainCropNitrogenStress	mainCropNitrogenStress
SafePlot	1	mainCropTemperature	-	-	mainCropTemperature	mainCropTemperature
SafePlot	1	mainCropSoilSurfaceTemperature	-	-	mainCropSoilSurfaceTemperature	mainCropSoilSurfaceTemperature	
SafePlot	1	mainCropRootDepth	-	-	mainCropRootDepth	mainCropRootDepth
SafePlot	1	mainCropNitrogenLaiStress	-	-	mainCropNitrogenLaiStress	mainCropNitrogenLaiStress
SafePlot	1	mainCropNitrogenBiomassStress	-	-	mainCropNitrogenBiomassStress	mainCropNitrogenBiomassStress
SafePlot	1	mainCropNitrogenSenescenceStress	-	-	mainCropNitrogenSenescenceStress	mainCropNitrogenSenescenceStress
SafePlot	1	nitrogenUptakeByMainCrop	kg N ha-1	kg N ha-1	nitrogenUptakeByMainCrop	nitrogenUptakeByMainCrop
SafePlot	1	nitrogenUptakeByInterCrop	kg N ha-1	kg N ha-1	nitrogenUptakeByInterCrop	nitrogenUptakeByInterCrop
SafePlot	1	nitrogenUptakeByTrees	kg N ha-1	kg N ha-1	nitrogenUptakeByTrees	nitrogenUptakeByTrees
SafePlot	1	nitrogenFixation	kg N ha-1	kg N ha-1	nitrogenFixation	nitrogenFixation
SafePlot	1	nitrogenHumusMineralisation	kg N ha-1	kg N ha-1	nitrogenHumusMineralisation	nitrogenHumusMineralisation
SafePlot	1	nitrogenResiduMineralisation	kg N ha-1	kg N ha-1	nitrogenResiduMineralisation	nitrogenResiduMineralisation
SafePlot	1	nitrogenDenitrification	kg N ha-1	kg N ha-1	nitrogenDenitrification	nitrogenDenitrification
SafePlot	1	biomassRestitution	t/ha	t/ha	biomassRestitution	biomassRestitution
SafePlot	1	nitrogenLeachingBottom	kg N ha-1	kg N ha-1	nitrogenLeachingBottom	nitrogenLeachingBottom
SafePlot	1	nitrogenLeachingWaterTable	kg N ha-1	kg N ha-1	nitrogenLeachingWaterTable	nitrogenLeachingWaterTable
SafePlot	1	nitrogenAddedByWaterTable	kg N ha-1	kg N ha-1	Azote AddedByWaterTable	Nitrogen AddedByWaterTable
SafePlot	1	nitrogenVolatilisation	kg N ha-1	kg N ha-1	nitrogenVolatilisation	nitrogenVolatilisation
